condition,in_headline_baseline_table,purpose,target_stage,integration_mode,closest_literature_category,reproduction_label
memory_off,yes,Frozen-LLM control with no persistent memory; isolates what the model answers from parametric knowledge alone,E_inference_external_memory,external_context,no-memory / closed-book control,implemented control (not a reproduction)
full_history,yes,Upper-bound context control: entire concatenated multi-session history in-context uncompressed,E_inference_external_memory,external_context,full-context prompting (cf. long-context / Mem0 full-context eval),implemented analogue (not a reproduction)
uncompressed_rag,yes,RAG-style exact retrieval over full-text chunks with a float32 index; the fidelity anchor for compression comparisons,E_inference_external_memory,external_context,retrieval-augmented external memory (cf. MemGPT / Mem0),implemented analogue (not a reproduction)
recency_fifo,yes,Recency/FIFO forgetting: evict oldest items regardless of utility; ablates HAM's utility-driven retention,E_inference_external_memory,external_context,fixed-window / FIFO forgetting (cf. Mamba selective forget, sliding-window caches),implemented analogue (not a reproduction)
static_prototype,yes,Static pre-computed prototypes with no adaptive promotion/consolidation over time,E_inference_external_memory,external_context,static memory index (cf. A-MEM without evolution, HippoRAG index),implemented analogue (not a reproduction)
uniform_quantization,yes,HAM store with uniform (non-utility) bit allocation; isolates the value of utility-driven precision,E_inference_external_memory,external_context,uniform post-training quantization (cf. AQLM improves over uniform),implemented analogue (not a reproduction)
ham_memory,yes,HAM: working/episodic/semantic tiers + consolidation + utility-driven bit allocation + VQ + text codec,E_inference_external_memory,external_context,this work (hierarchical adaptive memory),this work
random_tiering,no,HAM with random tier assignment; control that removes the importance signal from tiering,E_inference_external_memory,external_context,random-allocation control,implemented control (not a reproduction)
no_consolidation,no,HAM without episodic->semantic consolidation; ablates the consolidation stage,E_inference_external_memory,external_context,ablation of HAM consolidation,implemented ablation (not a reproduction)
no_recency,no,HAM without the recency importance signal,E_inference_external_memory,external_context,ablation of HAM recency signal,implemented ablation (not a reproduction)
no_novelty,no,HAM without the novelty importance signal,E_inference_external_memory,external_context,ablation of HAM novelty signal,implemented ablation (not a reproduction)
no_reuse,no,HAM without the reuse importance signal,E_inference_external_memory,external_context,ablation of HAM reuse signal,implemented ablation (not a reproduction)
lexical_retrieval,no,HAM with lexical-only (BM25-lite) retrieval instead of dense cosine,E_inference_external_memory,external_context,lexical retrieval baseline (BM25-family),implemented analogue (not a reproduction)
